Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Jun 18, 2019","1,105.24","1,111.50","1,118.78","1,100.79",1.73M
"Jun 17, 2019","1,093.89","1,089.10","1,101.28","1,088.00",988.49K
"Jun 14, 2019","1,086.30","1,089.74","1,094.76","1,081.48",1.23M
"Jun 13, 2019","1,091.01","1,084.71","1,096.59","1,082.57",1.04M
"Jun 12, 2019","1,079.10","1,079.95","1,082.52","1,069.60",1.18M
"Jun 11, 2019","1,081.04","1,096.99","1,104.01","1,079.57",1.68M
"Jun 10, 2019","1,082.76","1,077.00","1,094.84","1,075.28",1.43M
"Jun 07, 2019","1,068.37","1,054.28","1,073.43","1,051.15",2.19M
"Jun 06, 2019","1,047.76","1,046.21","1,050.00","1,035.51",1.45M
"Jun 05, 2019","1,044.64","1,055.00","1,056.81","1,033.00",2.35M
"Jun 04, 2019","1,054.49","1,044.49","1,058.44","1,036.03",3.03M
"Jun 03, 2019","1,038.74","1,066.93","1,067.00","1,027.03",4.84M
"May 31, 2019","1,106.50","1,105.64","1,113.40","1,103.35",1.58M
"May 30, 2019","1,121.41","1,120.15","1,126.80","1,115.90",904.42K
"May 29, 2019","1,119.94","1,132.70","1,135.00","1,111.95",1.81M
"May 28, 2019","1,139.56","1,141.48","1,156.49","1,138.67",1.05M
"May 24, 2019","1,138.61","1,152.00","1,154.36","1,136.71",927.65K
"May 23, 2019","1,145.34","1,146.07","1,150.05","1,133.16",1.26M
"May 22, 2019","1,155.85","1,151.25","1,163.78","1,151.00",941.28K
"May 21, 2019","1,154.44","1,154.48","1,158.00","1,143.31",1.03M
"May 20, 2019","1,144.66","1,153.00","1,153.00","1,138.13",1.53M
"May 17, 2019","1,168.78","1,175.83","1,186.29","1,166.42",1.27M
"May 16, 2019","1,184.50","1,171.84","1,194.16","1,168.45",1.77M
"May 15, 2019","1,170.80","1,122.55","1,178.30","1,121.40",2.97M
"May 14, 2019","1,124.86","1,142.32","1,144.87","1,123.53",2.02M
"May 13, 2019","1,136.59","1,145.24","1,151.97","1,125.50",2.28M
"May 10, 2019","1,167.64","1,168.84","1,176.28","1,146.37",1.58M
"May 09, 2019","1,167.97","1,162.60","1,174.07","1,154.64",1.48M
"May 08, 2019","1,170.78","1,177.29","1,184.27","1,167.63",1.28M
"May 07, 2019","1,178.86","1,185.81","1,194.77","1,165.00",1.83M
"May 06, 2019","1,193.46","1,172.00","1,195.43","1,171.15",1.59M
"May 03, 2019","1,189.55","1,177.41","1,191.40","1,173.55",2.08M
"May 02, 2019","1,166.51","1,172.60","1,179.38","1,158.33",2.25M
"May 01, 2019","1,173.32","1,197.50","1,199.25","1,171.67",3.72M
"Apr 30, 2019","1,198.96","1,190.63","1,200.98","1,183.00",6.66M
"Apr 29, 2019","1,296.20","1,280.51","1,296.97","1,271.71",3.62M
"Apr 26, 2019","1,277.42","1,273.38","1,278.91","1,265.00",1.36M
"Apr 25, 2019","1,267.34","1,270.30","1,272.80","1,258.00",1.57M
"Apr 24, 2019","1,260.05","1,270.59","1,274.00","1,259.81",1.17M
"Apr 23, 2019","1,270.59","1,256.64","1,274.43","1,251.97",1.59M
"Apr 22, 2019","1,253.76","1,236.67","1,254.34","1,233.37",954.42K
"Apr 18, 2019","1,241.47","1,245.00","1,245.94","1,239.41",1.24M
"Apr 17, 2019","1,240.14","1,237.00","1,245.10","1,232.90",1.52M
"Apr 16, 2019","1,231.91","1,230.00","1,235.98","1,225.04",1.13M
"Apr 15, 2019","1,226.53","1,224.09","1,229.30","1,214.56",1.19M
"Apr 12, 2019","1,222.73","1,215.62","1,223.05","1,213.29",1.22M
"Apr 11, 2019","1,209.59","1,208.90","1,212.74","1,204.54",849.95K
"Apr 10, 2019","1,206.45","1,205.09","1,208.94","1,200.66",775.46K
"Apr 09, 2019","1,202.69","1,201.89","1,207.15","1,198.38",983.84K
"Apr 08, 2019","1,208.28","1,211.11","1,213.95","1,204.69",1.09M
"Apr 05, 2019","1,211.45","1,219.30","1,220.39","1,210.03",1.00M
"Apr 04, 2019","1,219.45","1,211.29","1,220.55","1,209.04",1.05M
"Apr 03, 2019","1,210.81","1,212.70","1,220.60","1,205.08",1.11M
"Apr 02, 2019","1,205.54","1,200.05","1,205.81","1,191.24",914.41K
"Apr 01, 2019","1,198.98","1,187.54","1,200.20","1,186.36",1.39M
"Mar 29, 2019","1,176.89","1,180.18","1,183.97","1,166.38",1.54M
"Mar 28, 2019","1,172.27","1,175.50","1,177.25","1,163.43",1.12M
"Mar 27, 2019","1,178.01","1,191.92","1,191.92","1,164.23",1.47M
"Mar 26, 2019","1,189.84","1,205.19","1,207.65","1,181.76",1.54M
"Mar 25, 2019","1,197.38","1,199.56","1,209.44","1,190.00",1.38M
"Mar 22, 2019","1,207.65","1,228.85","1,233.63","1,206.00",1.72M
"Mar 21, 2019","1,236.13","1,220.00","1,236.44","1,216.58",1.41M
"Mar 20, 2019","1,226.43","1,201.40","1,229.99","1,199.59",2.08M
"Mar 19, 2019","1,202.46","1,191.72","1,203.40","1,189.46",1.49M
"Mar 18, 2019","1,188.55","1,189.69","1,194.95","1,181.48",1.22M
"Mar 15, 2019","1,190.30","1,198.00","1,201.72","1,187.01",2.59M
"Mar 14, 2019","1,192.53","1,199.02","1,204.70","1,191.23",1.37M
